iter	RMSE_SumError	RMSE_SumWeight
0	58.47943182	365
1	53.58283174	365
2	49.65488623	365
3	45.96580289	365
4	42.36797981	365
5	39.26066373	365
6	36.9883084	365
7	34.62316585	365
8	32.37059583	365
9	30.61471234	365
10	28.62228528	365
11	26.84382762	365
12	25.43701385	365
13	24.08966434	365
14	22.88752545	365
15	21.97298011	365
16	20.94242234	365
17	20.01646514	365
18	19.22068	365
19	18.58326584	365
20	17.83287001	365
21	17.08167468	365
22	16.53526524	365
23	16.07153536	365
24	15.588539	365
25	15.01352059	365
26	14.59700175	365
27	14.09724612	365
28	13.71499986	365
29	13.35548072	365
30	13.04465899	365
31	12.71860103	365
32	12.44243275	365
33	12.25511913	365
34	12.02845144	365
35	11.74337008	365
36	11.53122879	365
37	11.36866305	365
38	11.17764169	365
39	10.9876796	365
40	10.84832464	365
41	10.70238021	365
42	10.58247841	365
43	10.46443885	365
44	10.29571504	365
45	10.2002296	365
46	10.07040938	365
47	9.959663148	365
48	9.866117757	365
49	9.740913584	365
50	9.645570731	365
51	9.584060378	365
52	9.530266785	365
53	9.446475353	365
54	9.395390868	365
55	9.32382657	365
56	9.248070695	365
57	9.141267508	365
58	9.068594606	365
59	9.008440968	365
60	8.95321871	365
61	8.935413094	365
62	8.883064828	365
63	8.822567691	365
64	8.782426132	365
65	8.755091544	365
66	8.730476237	365
67	8.663296917	365
68	8.585287097	365
69	8.542696103	365
70	8.516070408	365
71	8.477367189	365
72	8.45229619	365
73	8.41438257	365
74	8.385345275	365
75	8.357804463	365
76	8.322098092	365
77	8.293896069	365
78	8.275613857	365
79	8.249600193	365
80	8.234723833	365
81	8.227709896	365
82	8.196865931	365
83	8.188726205	365
84	8.164741087	365
85	8.147591094	365
86	8.135494546	365
87	8.106566015	365
88	8.085635031	365
89	8.085077056	365
90	8.060738771	365
91	8.060463155	365
92	8.033814164	365
93	8.022401299	365
94	8.011962522	365
95	7.967914009	365
96	7.912721947	365
97	7.911643775	365
98	7.911452436	365
99	7.911343251	365
100	7.90379462	365
101	7.864080193	365
102	7.846067413	365
103	7.84678895	365
104	7.839957577	365
105	7.813776956	365
106	7.786714158	365
107	7.770867723	365
108	7.774461252	365
109	7.77613425	365
110	7.750918521	365
111	7.720846792	365
112	7.723681289	365
113	7.715893262	365
114	7.714249612	365
115	7.698740134	365
116	7.703099153	365
117	7.702321015	365
118	7.665600072	365
119	7.616545216	365
120	7.586127566	365
121	7.574065782	365
122	7.562592515	365
123	7.52822123	365
124	7.515707387	365
125	7.515340715	365
126	7.510012347	365
127	7.510646007	365
128	7.51177039	365
129	7.521437529	365
130	7.50091458	365
131	7.507877398	365
132	7.512443961	365
133	7.494211692	365
134	7.488938601	365
135	7.463792488	365
136	7.437166265	365
137	7.428828798	365
138	7.421740903	365
139	7.415316808	365
140	7.415111429	365
141	7.405679209	365
142	7.404087888	365
143	7.394546977	365
144	7.368500506	365
145	7.366489995	365
146	7.331290792	365
147	7.332024234	365
148	7.326203947	365
149	7.32552911	365
150	7.308086432	365
151	7.304760829	365
152	7.30954008	365
153	7.315153217	365
154	7.307001006	365
155	7.285241392	365
156	7.262196206	365
157	7.260867911	365
158	7.249945832	365
159	7.251797348	365
160	7.252080502	365
161	7.250093717	365
162	7.247779293	365
163	7.246800533	365
164	7.246693467	365
165	7.24439608	365
166	7.234649192	365
167	7.229419794	365
168	7.228869781	365
169	7.233657645	365
170	7.219011998	365
171	7.210573251	365
172	7.215961093	365
173	7.210099464	365
174	7.213293623	365
175	7.208208544	365
176	7.202156043	365
177	7.193608104	365
178	7.195287557	365
179	7.18996549	365
180	7.179088025	365
181	7.165412448	365
182	7.148306105	365
183	7.120845971	365
184	7.124266846	365
185	7.117684985	365
186	7.100168837	365
187	7.09095943	365
188	7.077687502	365
189	7.077712028	365
190	7.072083812	365
191	7.071586607	365
192	7.063168907	365
193	7.067864778	365
194	7.067403233	365
195	7.036686714	365
196	7.035482183	365
197	7.02716454	365
198	7.022560933	365
199	7.015756486	365
200	7.016048616	365
201	7.013322168	365
202	7.017650977	365
203	7.007961194	365
204	7.015584511	365
205	7.012353234	365
206	7.004657632	365
207	7.003331036	365
208	7.006701178	365
209	7.012305191	365
210	6.999533772	365
211	6.986263186	365
212	6.983272968	365
213	6.976355629	365
214	6.970673623	365
215	6.967750449	365
216	6.959975877	365
217	6.964599803	365
218	6.967324468	365
219	6.956788527	365
220	6.955597697	365
221	6.944570338	365
222	6.943844596	365
223	6.944119179	365
224	6.939687372	365
225	6.934478165	365
226	6.9310321	365
227	6.929749913	365
228	6.938046572	365
229	6.936804291	365
230	6.941745817	365
231	6.937146831	365
232	6.937975637	365
233	6.939202399	365
234	6.939842893	365
235	6.938383355	365
236	6.951976131	365
237	6.95046947	365
238	6.951503286	365
239	6.947741994	365
240	6.947296133	365
241	6.943444696	365
242	6.949944274	365
243	6.94026156	365
244	6.94078235	365
245	6.943797509	365
246	6.942729595	365
247	6.943334596	365
248	6.950832848	365
249	6.947494452	365
250	6.946541441	365
251	6.947168877	365
252	6.946722401	365
253	6.939667224	365
254	6.933426985	365
255	6.926944818	365
256	6.904738	365
257	6.904146816	365
258	6.907567901	365
259	6.899101939	365
260	6.904771537	365
261	6.902373865	365
262	6.89798851	365
263	6.889291092	365
264	6.888119993	365
265	6.888631941	365
266	6.891812622	365
267	6.890652064	365
268	6.894075229	365
269	6.895528064	365
270	6.902268742	365
271	6.900204531	365
272	6.906607979	365
273	6.904217248	365
274	6.905245262	365
275	6.906235768	365
276	6.904328785	365
277	6.897997515	365
278	6.890215519	365
279	6.895792101	365
280	6.895971269	365
281	6.884693133	365
282	6.881692368	365
283	6.87988358	365
284	6.883936344	365
285	6.884547883	365
286	6.878888114	365
287	6.877039874	365
288	6.868395915	365
289	6.859698253	365
290	6.85173301	365
291	6.843451896	365
292	6.839223882	365
293	6.837886806	365
294	6.838471975	365
295	6.842212031	365
296	6.836806133	365
297	6.837057439	365
298	6.82564687	365
299	6.817581927	365
300	6.815760887	365
301	6.825187511	365
302	6.826934207	365
303	6.8247354	365
304	6.820916086	365
305	6.821302599	365
306	6.812773866	365
307	6.812897455	365
308	6.815085994	365
309	6.811051187	365
310	6.804111554	365
311	6.803550435	365
312	6.810406786	365
313	6.81447615	365
314	6.804048781	365
315	6.811672365	365
316	6.8089391	365
317	6.810569906	365
318	6.808350896	365
319	6.802754625	365
320	6.806145793	365
321	6.803802819	365
322	6.802127089	365
323	6.801409354	365
324	6.80444669	365
325	6.806593172	365
326	6.789672074	365
327	6.788364669	365
328	6.789307511	365
329	6.789787868	365
330	6.787476565	365
331	6.785888992	365
332	6.786377549	365
333	6.788376408	365
334	6.787475909	365
335	6.790128699	365
336	6.797130682	365
337	6.796736609	365
338	6.78051665	365
339	6.780793423	365
340	6.77843711	365
341	6.778674043	365
342	6.778629981	365
343	6.771500026	365
344	6.769888926	365
345	6.768276923	365
346	6.76914081	365
347	6.769203291	365
348	6.766976586	365
349	6.762741711	365
350	6.757603058	365
351	6.75447626	365
352	6.758662736	365
353	6.757922791	365
354	6.766947759	365
355	6.776635069	365
356	6.775143787	365
357	6.777318936	365
358	6.769465445	365
359	6.767743623	365
360	6.767276568	365
361	6.766487726	365
362	6.767200631	365
363	6.764710072	365
364	6.767350383	365
365	6.767417351	365
366	6.768954491	365
367	6.770149485	365
368	6.771604725	365
369	6.769246481	365
370	6.764857851	365
371	6.764854602	365
372	6.763245015	365
373	6.756932322	365
374	6.748970439	365
375	6.743656638	365
376	6.741703362	365
377	6.743643566	365
378	6.74448882	365
379	6.741028036	365
380	6.741123277	365
381	6.734932525	365
382	6.734249016	365
383	6.72789192	365
384	6.726915369	365
385	6.716715638	365
386	6.71017454	365
387	6.709207789	365
388	6.70875206	365
389	6.698259338	365
390	6.697623007	365
391	6.695218294	365
392	6.695522708	365
393	6.687631565	365
394	6.684767867	365
395	6.688934903	365
396	6.687602923	365
397	6.690523666	365
398	6.691894204	365
399	6.693378078	365
400	6.692174966	365
401	6.692006178	365
402	6.691207394	365
403	6.688471976	365
404	6.683097204	365
405	6.68673387	365
406	6.689503437	365
407	6.688889447	365
408	6.690150789	365
409	6.691345027	365
410	6.687174095	365
411	6.686709798	365
412	6.684258091	365
413	6.684176594	365
414	6.678178781	365
415	6.679977888	365
416	6.681167432	365
417	6.683076082	365
418	6.683535306	365
419	6.681792605	365
420	6.68206965	365
421	6.683137148	365
422	6.6816396	365
423	6.684505154	365
424	6.682392015	365
425	6.683791298	365
426	6.68390519	365
427	6.68482079	365
428	6.682631533	365
429	6.677389809	365
430	6.677761663	365
431	6.677009853	365
432	6.671235305	365
433	6.671534068	365
434	6.672437246	365
435	6.671232054	365
436	6.665510535	365
437	6.666233887	365
438	6.667689746	365
439	6.668147869	365
440	6.668067901	365
441	6.667543797	365
442	6.668271424	365
443	6.665067671	365
444	6.668015356	365
445	6.670292821	365
446	6.668016551	365
447	6.669091672	365
448	6.666734467	365
449	6.664416395	365
450	6.667452364	365
451	6.67051085	365
452	6.670596499	365
453	6.669387354	365
454	6.67613438	365
455	6.673275988	365
456	6.666970343	365
457	6.666694767	365
458	6.664784066	365
459	6.660500516	365
460	6.660449008	365
461	6.661462528	365
462	6.665718346	365
463	6.663997898	365
464	6.653760688	365
465	6.653827711	365
466	6.653921426	365
467	6.650198528	365
468	6.649716992	365
469	6.647620782	365
470	6.641974103	365
471	6.63987527	365
472	6.641752766	365
473	6.640196703	365
474	6.641090387	365
475	6.640362213	365
476	6.641679641	365
477	6.647400495	365
478	6.651314123	365
479	6.639812185	365
480	6.639055847	365
481	6.641795746	365
482	6.641048103	365
483	6.648905651	365
484	6.642973665	365
485	6.64084138	365
486	6.641372938	365
487	6.641927054	365
488	6.641146486	365
489	6.638629578	365
490	6.639062744	365
491	6.639068276	365
492	6.633758769	365
493	6.633671535	365
494	6.630728104	365
495	6.630654146	365
496	6.623312685	365
497	6.624467491	365
498	6.619941389	365
499	6.619746473	365
